n,t,h
46630,1554.3333333333333,1140
46631,1554.3666666666668,1140
46632,1554.4,1140
46633,1554.4333333333332,1140
46634,1554.4666666666667,1140
46635,1554.5,1140
46636,1554.5333333333333,1140
46637,1554.5666666666668,1140
46638,1554.6,1140
46639,1554.6333333333332,1140
46640,1554.6666666666667,1140
46641,1554.7,1140
46642,1554.7333333333333,1150
46643,1554.7666666666667,1150
46644,1554.8,1150
46645,1554.8333333333333,1150
46646,1554.8666666666668,1150
46647,1554.9,1150
46648,1554.9333333333332,1150
46649,1554.9666666666667,1150
46650,1555.0,1150
46651,1555.0333333333333,1150
46652,1555.0666666666668,1150
46653,1555.1,1150
46654,1555.1333333333332,1150
46655,1555.1666666666667,1150
46656,1555.2,1150
46657,1555.2333333333333,1150
46658,1555.2666666666667,1150
46659,1555.3,1150
46660,1555.3333333333333,1150
46661,1555.3666666666668,1150
46662,1555.4,1150
46663,1555.4333333333332,1150
46664,1555.4666666666667,1160
46665,1555.5,1160
46666,1555.5333333333333,1160
46667,1555.5666666666668,1160
46668,1555.6,1160
46669,1555.6333333333332,1160
46670,1555.6666666666667,1160
46671,1555.7,1160
46672,1555.7333333333333,1160
46673,1555.7666666666667,1160
46674,1555.8,1160
46675,1555.8333333333333,1160
46676,1555.8666666666668,1160
46677,1555.9,1160
46678,1555.9333333333332,1160
46679,1555.9666666666667,1160
46680,1556.0,1160
46681,1556.0333333333333,1160
46682,1556.0666666666668,1160
46683,1556.1,1160
46684,1556.1333333333332,1170
46685,1556.1666666666667,1170
46686,1556.2,1170
46687,1556.2333333333333,1170
46688,1556.2666666666667,1170
46689,1556.3,1170
46690,1556.3333333333333,1170
46691,1556.3666666666668,1170
46692,1556.4,1170
46693,1556.4333333333332,1170
46694,1556.4666666666667,1170
46695,1556.5,1170
46696,1556.5333333333333,1170
46697,1556.5666666666668,1170
46698,1556.6,1170
46699,1556.6333333333332,1170
46700,1556.6666666666667,1170
46701,1556.7,1170
46702,1556.7333333333333,1170
46703,1556.7666666666667,1170
46704,1556.8,1170
46705,1556.8333333333333,1170
46706,1556.8666666666668,1180
46707,1556.9,1180
46708,1556.9333333333332,1180
46709,1556.9666666666667,1180
46710,1557.0,1180
46711,1557.0333333333333,1180
46712,1557.0666666666668,1180
46713,1557.1,1180
46714,1557.1333333333332,1180
46715,1557.1666666666667,1180
46716,1557.2,1180
46717,1557.2333333333333,1180
46718,1557.2666666666667,1180
46719,1557.3,1180
46720,1557.3333333333333,1180
46721,1557.3666666666668,1180
46722,1557.4,1180
46723,1557.4333333333332,1180
46724,1557.4666666666667,1180
46725,1557.5,1180
46726,1557.5333333333333,1180
46727,1557.5666666666668,1180
46728,1557.6,1180
46729,1557.6333333333332,1190
46730,1557.6666666666667,1190
46731,1557.7,1190
46732,1557.7333333333333,1190
46733,1557.7666666666667,1190
46734,1557.8,1190
46735,1557.8333333333333,1190
46736,1557.8666666666668,1190
46737,1557.9,1190
46738,1557.9333333333332,1190
46739,1557.9666666666667,1190
46740,1558.0,1190
46741,1558.0333333333333,1190
46742,1558.0666666666668,1190
46743,1558.1,1190
46744,1558.1333333333332,1190
46745,1558.1666666666667,1190
46746,1558.2,1190
46747,1558.2333333333333,1190
46748,1558.2666666666667,1190
46749,1558.3,1190
46750,1558.3333333333333,1190
46751,1558.3666666666668,1200
46752,1558.4,1200
46753,1558.4333333333332,1200
46754,1558.4666666666667,1200
46755,1558.5,1200
46756,1558.5333333333333,1200
46757,1558.5666666666668,1200
46758,1558.6,1200
46759,1558.6333333333332,1200
46760,1558.6666666666667,1200
46761,1558.7,1200
46762,1558.7333333333333,1200
46763,1558.7666666666667,1200
46764,1558.8,1200
46765,1558.8333333333333,1200
46766,1558.8666666666668,1200
46767,1558.9,1200
46768,1558.9333333333332,1200
46769,1558.9666666666667,1200
46770,1559.0,1210
46771,1559.0333333333333,1210
46772,1559.0666666666668,1210
46773,1559.1,1210
46774,1559.1333333333332,1210
46775,1559.1666666666667,1210
46776,1559.2,1210
46777,1559.2333333333333,1210
46778,1559.2666666666667,1210
46779,1559.3,1210
46780,1559.3333333333333,1210
46781,1559.3666666666668,1210
46782,1559.4,1210
46783,1559.4333333333332,1210
46784,1559.4666666666667,1210
46785,1559.5,1210
46786,1559.5333333333333,1210
46787,1559.5666666666668,1210
46788,1559.6,1210
46789,1559.6333333333332,1210
46790,1559.6666666666667,1220
46791,1559.7,1220
46792,1559.7333333333333,1220
46793,1559.7666666666667,1220
46794,1559.8,1220
46795,1559.8333333333333,1220
46796,1559.8666666666668,1220
46797,1559.9,1220
46798,1559.9333333333332,1220
46799,1559.9666666666667,1220
46800,1560.0,1220
46801,1560.0333333333333,1220
46802,1560.0666666666668,1220
46803,1560.1,1220
46804,1560.1333333333332,1220
46805,1560.1666666666667,1220
46806,1560.2,1220
46807,1560.2333333333333,1220
46808,1560.2666666666667,1220
46809,1560.3,1220
46810,1560.3333333333333,1230
46811,1560.3666666666668,1230
46812,1560.4,1230
46813,1560.4333333333332,1230
46814,1560.4666666666667,1230
46815,1560.5,1230
46816,1560.5333333333333,1230
46817,1560.5666666666668,1230
46818,1560.6,1230
46819,1560.6333333333332,1230
46820,1560.6666666666667,1230
46821,1560.7,1230
46822,1560.7333333333333,1230
46823,1560.7666666666667,1230
46824,1560.8,1230
46825,1560.8333333333333,1230
46826,1560.8666666666668,1230
46827,1560.9,1230
46828,1560.9333333333332,1230
46829,1560.9666666666667,1230
46830,1561.0,1230
46831,1561.0333333333333,1240
46832,1561.0666666666668,1240
46833,1561.1,1240
46834,1561.1333333333332,1240
46835,1561.1666666666667,1240
46836,1561.2,1240
46837,1561.2333333333333,1240
46838,1561.2666666666667,1240
46839,1561.3,1240
46840,1561.3333333333333,1240
46841,1561.3666666666668,1240
46842,1561.4,1240
46843,1561.4333333333332,1240
46844,1561.4666666666667,1240
46845,1561.5,1240
46846,1561.5333333333333,1240
46847,1561.5666666666668,1240
46848,1561.6,1240
46849,1561.6333333333332,1240
46850,1561.6666666666667,1240
46851,1561.7,1240
46852,1561.7333333333333,1240
46853,1561.7666666666667,1240
46854,1561.8,1250
46855,1561.8333333333333,1250
46856,1561.8666666666668,1250
46857,1561.9,1250
46858,1561.9333333333332,1250
46859,1561.9666666666667,1250
46860,1562.0,1250
46861,1562.0333333333333,1250
46862,1562.0666666666668,1250
46863,1562.1,1250
46864,1562.1333333333332,1250
46865,1562.1666666666667,1250
46866,1562.2,1250
46867,1562.2333333333333,1250
46868,1562.2666666666667,1250
46869,1562.3,1250
46870,1562.3333333333333,1250
46871,1562.3666666666668,1250
46872,1562.4,1250
46873,1562.4333333333332,1250
46874,1562.4666666666667,1260
46875,1562.5,1260
46876,1562.5333333333333,1260
46877,1562.5666666666668,1260
46878,1562.6,1260
46879,1562.6333333333332,1260
46880,1562.6666666666667,1260
46881,1562.7,1260
46882,1562.7333333333333,1260
46883,1562.7666666666667,1260
46884,1562.8,1260
46885,1562.8333333333333,1260
46886,1562.8666666666668,1260
46887,1562.9,1260
46888,1562.9333333333332,1260
46889,1562.9666666666667,1260
46890,1563.0,1260
46891,1563.0333333333333,1260
46892,1563.0666666666668,1260
46893,1563.1,1260
46894,1563.1333333333332,1270
46895,1563.1666666666667,1270
46896,1563.2,1270
46897,1563.2333333333333,1270
46898,1563.2666666666667,1270
46899,1563.3,1270
46900,1563.3333333333333,1270
46901,1563.3666666666668,1270
46902,1563.4,1270
46903,1563.4333333333332,1270
46904,1563.4666666666667,1270
46905,1563.5,1270
46906,1563.5333333333333,1270
46907,1563.5666666666668,1270
46908,1563.6,1270
46909,1563.6333333333332,1270
46910,1563.6666666666667,1270
46911,1563.7,1270
46912,1563.7333333333333,1270
46913,1563.7666666666667,1270
46914,1563.8,1270
46915,1563.8333333333333,1270
46916,1563.8666666666668,1270
46917,1563.9,1280
46918,1563.9333333333332,1280
46919,1563.9666666666667,1280
46920,1564.0,1280
46921,1564.0333333333333,1280
46922,1564.0666666666668,1280
46923,1564.1,1280
46924,1564.1333333333332,1280
46925,1564.1666666666667,1280
46926,1564.2,1280
46927,1564.2333333333333,1280
46928,1564.2666666666667,1280
46929,1564.3,1280
46930,1564.3333333333333,1280
46931,1564.3666666666668,1280
46932,1564.4,1280
46933,1564.4333333333332,1280
46934,1564.4666666666667,1280
46935,1564.5,1280
46936,1564.5333333333333,1280
46937,1564.5666666666668,1280
46938,1564.6,1280
46939,1564.6333333333332,1290
46940,1564.6666666666667,1290
46941,1564.7,1290
46942,1564.7333333333333,1290
46943,1564.7666666666667,1290
46944,1564.8,1290
46945,1564.8333333333333,1290
46946,1564.8666666666668,1290
46947,1564.9,1290
46948,1564.9333333333332,1290
46949,1564.9666666666667,1290
46950,1565.0,1290
46951,1565.0333333333333,1290
46952,1565.0666666666668,1290
46953,1565.1,1290
46954,1565.1333333333332,1290
46955,1565.1666666666667,1290
46956,1565.2,1290
46957,1565.2333333333333,1290
46958,1565.2666666666667,1290
46959,1565.3,1290
46960,1565.3333333333333,1290
46961,1565.3666666666668,1300
46962,1565.4,1300
46963,1565.4333333333332,1300
46964,1565.4666666666667,1300
46965,1565.5,1300
46966,1565.5333333333333,1300
46967,1565.5666666666668,1300
46968,1565.6,1300
46969,1565.6333333333332,1300
46970,1565.6666666666667,1300
46971,1565.7,1300
46972,1565.7333333333333,1300
46973,1565.7666666666667,1300
46974,1565.8,1300
46975,1565.8333333333333,1300
46976,1565.8666666666668,1300
46977,1565.9,1300
46978,1565.9333333333332,1300
46979,1565.9666666666667,1300
46980,1566.0,1310
46981,1566.0333333333333,1310
46982,1566.0666666666668,1310
46983,1566.1,1310
46984,1566.1333333333332,1310
46985,1566.1666666666667,1310
46986,1566.2,1310
46987,1566.2333333333333,1310
46988,1566.2666666666667,1310
46989,1566.3,1310
46990,1566.3333333333333,1310
46991,1566.3666666666668,1310
46992,1566.4,1310
46993,1566.4333333333332,1310
46994,1566.4666666666667,1310
46995,1566.5,1310
46996,1566.5333333333333,1310
46997,1566.5666666666668,1310
46998,1566.6,1310
46999,1566.6333333333332,1310
47000,1566.6666666666667,1310
47001,1566.7,1310
47002,1566.7333333333333,1320
47003,1566.7666666666667,1320
47004,1566.8,1320
47005,1566.8333333333333,1320
47006,1566.8666666666668,1320
47007,1566.9,1320
47008,1566.9333333333332,1320
47009,1566.9666666666667,1320
47010,1567.0,1320
47011,1567.0333333333333,1320
47012,1567.0666666666668,1320
47013,1567.1,1320
47014,1567.1333333333332,1320
47015,1567.1666666666667,1320
47016,1567.2,1320
47017,1567.2333333333333,1320
47018,1567.2666666666667,1320
47019,1567.3,1320
47020,1567.3333333333333,1320
47021,1567.3666666666668,1320
47022,1567.4,1320
47023,1567.4333333333332,1330
47024,1567.4666666666667,1330
47025,1567.5,1330
47026,1567.5333333333333,1330
47027,1567.5666666666668,1330
47028,1567.6,1330
47029,1567.6333333333332,1330
47030,1567.6666666666667,1330
47031,1567.7,1330
47032,1567.7333333333333,1330
47033,1567.7666666666667,1330
47034,1567.8,1330
47035,1567.8333333333333,1330
47036,1567.8666666666668,1330
47037,1567.9,1330
47038,1567.9333333333332,1330
47039,1567.9666666666667,1330
47040,1568.0,1330
47041,1568.0333333333333,1330
47042,1568.0666666666668,1340
47043,1568.1,1340
47044,1568.1333333333332,1340
47045,1568.1666666666667,1340
47046,1568.2,1340
47047,1568.2333333333333,1340
47048,1568.2666666666667,1340
47049,1568.3,1340
47050,1568.3333333333333,1340
47051,1568.3666666666668,1340
47052,1568.4,1340
47053,1568.4333333333332,1340
47054,1568.4666666666667,1340
47055,1568.5,1340
47056,1568.5333333333333,1340
47057,1568.5666666666668,1340
47058,1568.6,1340
47059,1568.6333333333332,1340
47060,1568.6666666666667,1340
47061,1568.7,1340
47062,1568.7333333333333,1340
47063,1568.7666666666667,1340
47064,1568.8,1340
47065,1568.8333333333333,1350
47066,1568.8666666666668,1350
47067,1568.9,1350
47068,1568.9333333333332,1350
47069,1568.9666666666667,1350
47070,1569.0,1350
47071,1569.0333333333333,1350
47072,1569.0666666666668,1350
47073,1569.1,1350
47074,1569.1333333333332,1350
47075,1569.1666666666667,1350
47076,1569.2,1350
47077,1569.2333333333333,1350
47078,1569.2666666666667,1350
47079,1569.3,1350
47080,1569.3333333333333,1350
47081,1569.3666666666668,1350
47082,1569.4,1350
47083,1569.4333333333332,1350
47084,1569.4666666666667,1350
47085,1569.5,1350
47086,1569.5333333333333,1360
47087,1569.5666666666668,1360
47088,1569.6,1360
47089,1569.6333333333332,1360
47090,1569.6666666666667,1360
47091,1569.7,1360
47092,1569.7333333333333,1360
47093,1569.7666666666667,1360
47094,1569.8,1360
47095,1569.8333333333333,1360
47096,1569.8666666666668,1360
47097,1569.9,1360
47098,1569.9333333333332,1360
47099,1569.9666666666667,1360
47100,1570.0,1360
47101,1570.0333333333333,1360
47102,1570.0666666666668,1360
47103,1570.1,1360
47104,1570.1333333333332,1360
47105,1570.1666666666667,1370
47106,1570.2,1370
47107,1570.2333333333333,1370
47108,1570.2666666666667,1370
47109,1570.3,1370
47110,1570.3333333333333,1370
47111,1570.3666666666668,1370
47112,1570.4,1370
47113,1570.4333333333332,1370
47114,1570.4666666666667,1370
47115,1570.5,1370
47116,1570.5333333333333,1370
47117,1570.5666666666668,1370
47118,1570.6,1370
47119,1570.6333333333332,1370
47120,1570.6666666666667,1370
47121,1570.7,1370
47122,1570.7333333333333,1370
47123,1570.7666666666667,1370
47124,1570.8,1370
47125,1570.8333333333333,1370
47126,1570.8666666666668,1380
47127,1570.9,1380
47128,1570.9333333333332,1380
47129,1570.9666666666667,1380
47130,1571.0,1380
47131,1571.0333333333333,1380
47132,1571.0666666666668,1380
47133,1571.1,1380
47134,1571.1333333333332,1380
47135,1571.1666666666667,1380
47136,1571.2,1380
47137,1571.2333333333333,1380
47138,1571.2666666666667,1380
47139,1571.3,1380
47140,1571.3333333333333,1380
47141,1571.3666666666668,1380
47142,1571.4,1380
47143,1571.4333333333332,1380
47144,1571.4666666666667,1380
47145,1571.5,1380
47146,1571.5333333333333,1380
47147,1571.5666666666668,1380
47148,1571.6,1380
47149,1571.6333333333332,1390
47150,1571.6666666666667,1390
47151,1571.7,1390
47152,1571.7333333333333,1390
47153,1571.7666666666667,1390
47154,1571.8,1390
47155,1571.8333333333333,1390
47156,1571.8666666666668,1390
47157,1571.9,1390
47158,1571.9333333333332,1390
47159,1571.9666666666667,1390
47160,1572.0,1390
47161,1572.0333333333333,1390
47162,1572.0666666666668,1390
47163,1572.1,1390
47164,1572.1333333333332,1390
47165,1572.1666666666667,1390
47166,1572.2,1390
47167,1572.2333333333333,1390
47168,1572.2666666666667,1390
47169,1572.3,1400
47170,1572.3333333333333,1400
47171,1572.3666666666668,1400
47172,1572.4,1400
47173,1572.4333333333332,1400
47174,1572.4666666666667,1400
47175,1572.5,1400
47176,1572.5333333333333,1400
47177,1572.5666666666668,1400
47178,1572.6,1400
47179,1572.6333333333332,1400
47180,1572.6666666666667,1400
47181,1572.7,1400
47182,1572.7333333333333,1400
47183,1572.7666666666667,1400
47184,1572.8,1400
47185,1572.8333333333333,1400
47186,1572.8666666666668,1400
47187,1572.9,1400
47188,1572.9333333333332,1400
47189,1572.9666666666667,1400
47190,1573.0,1410
47191,1573.0333333333333,1410
47192,1573.0666666666668,1410
47193,1573.1,1410
47194,1573.1333333333332,1410
47195,1573.1666666666667,1410
47196,1573.2,1410
47197,1573.2333333333333,1410
47198,1573.2666666666667,1410
47199,1573.3,1410
47200,1573.3333333333333,1410
47201,1573.3666666666668,1410
47202,1573.4,1410
47203,1573.4333333333332,1410
47204,1573.4666666666667,1410
47205,1573.5,1410
47206,1573.5333333333333,1410
47207,1573.5666666666668,1410
47208,1573.6,1410
47209,1573.6333333333332,1410
47210,1573.6666666666667,1410
47211,1573.7,1420
47212,1573.7333333333333,1420
47213,1573.7666666666667,1420
47214,1573.8,1420
47215,1573.8333333333333,1420
47216,1573.8666666666668,1420
47217,1573.9,1420
47218,1573.9333333333332,1420
47219,1573.9666666666667,1420
47220,1574.0,1420
47221,1574.0333333333333,1420
47222,1574.0666666666668,1420
47223,1574.1,1420
47224,1574.1333333333332,1420
47225,1574.1666666666667,1420
47226,1574.2,1420
47227,1574.2333333333333,1420
47228,1574.2666666666667,1420
47229,1574.3,1420
47230,1574.3333333333333,1420
47231,1574.3666666666668,1420
47232,1574.4,1420
47233,1574.4333333333332,1430
47234,1574.4666666666667,1430
47235,1574.5,1430
47236,1574.5333333333333,1430
47237,1574.5666666666668,1430
47238,1574.6,1430
47239,1574.6333333333332,1430
47240,1574.6666666666667,1430
47241,1574.7,1430
47242,1574.7333333333333,1430
47243,1574.7666666666667,1430
47244,1574.8,1430
47245,1574.8333333333333,1430
47246,1574.8666666666668,1430
47247,1574.9,1430
47248,1574.9333333333332,1430
47249,1574.9666666666667,1430
47250,1575.0,1430
47251,1575.0333333333333,1430
47252,1575.0666666666668,1430
47253,1575.1,1440
47254,1575.1333333333332,1440
47255,1575.1666666666667,1440
47256,1575.2,1440
47257,1575.2333333333333,1440
47258,1575.2666666666667,1440
47259,1575.3,1440
47260,1575.3333333333333,1440
47261,1575.3666666666668,1440
47262,1575.4,1440
47263,1575.4333333333332,1440
47264,1575.4666666666667,1440
47265,1575.5,1440
47266,1575.5333333333333,1440
47267,1575.5666666666668,1440
47268,1575.6,1440
47269,1575.6333333333332,1440
47270,1575.6666666666667,1440
47271,1575.7,1440
47272,1575.7333333333333,1440
47273,1575.7666666666667,1440
47274,1575.8,1450
47275,1575.8333333333333,1450
47276,1575.8666666666668,1450
47277,1575.9,1450
47278,1575.9333333333332,1450
47279,1575.9666666666667,1450
47280,1576.0,1450
47281,1576.0333333333333,1450
47282,1576.0666666666668,1450
47283,1576.1,1450
47284,1576.1333333333332,1450
47285,1576.1666666666667,1450
47286,1576.2,1450
47287,1576.2333333333333,1450
47288,1576.2666666666667,1450
47289,1576.3,1450
47290,1576.3333333333333,1450
47291,1576.3666666666668,1450
47292,1576.4,1450
47293,1576.4333333333332,1450
47294,1576.4666666666667,1450
47295,1576.5,1450
47296,1576.5333333333333,1460
47297,1576.5666666666668,1460
47298,1576.6,1460
47299,1576.6333333333332,1460
47300,1576.6666666666667,1460
47301,1576.7,1460
47302,1576.7333333333333,1460
47303,1576.7666666666667,1460
47304,1576.8,1460
47305,1576.8333333333333,1460
47306,1576.8666666666668,1460
47307,1576.9,1460
47308,1576.9333333333332,1460
47309,1576.9666666666667,1460
47310,1577.0,1460
47311,1577.0333333333333,1460
47312,1577.0666666666668,1460
47313,1577.1,1460
47314,1577.1333333333332,1460
47315,1577.1666666666667,1460
47316,1577.2,1470
47317,1577.2333333333333,1470
47318,1577.2666666666667,1470
47319,1577.3,1470
47320,1577.3333333333333,1470
47321,1577.3666666666668,1470
47322,1577.4,1470
47323,1577.4333333333332,1470
47324,1577.4666666666667,1470
47325,1577.5,1470
47326,1577.5333333333333,1470
47327,1577.5666666666668,1470
47328,1577.6,1470
47329,1577.6333333333332,1470
47330,1577.6666666666667,1470
47331,1577.7,1470
47332,1577.7333333333333,1470
47333,1577.7666666666667,1470
47334,1577.8,1470
47335,1577.8333333333333,1470
47336,1577.8666666666668,1470
47337,1577.9,1470
47338,1577.9333333333332,1470
47339,1577.9666666666667,1480
47340,1578.0,1480
47341,1578.0333333333333,1480
47342,1578.0666666666668,1480
47343,1578.1,1480
47344,1578.1333333333332,1480
47345,1578.1666666666667,1480
47346,1578.2,1480
47347,1578.2333333333333,1480
47348,1578.2666666666667,1480
47349,1578.3,1480
47350,1578.3333333333333,1480
47351,1578.3666666666668,1480
47352,1578.4,1480
47353,1578.4333333333332,1480
47354,1578.4666666666667,1480
47355,1578.5,1480
47356,1578.5333333333333,1480
47357,1578.5666666666668,1480
47358,1578.6,1480
47359,1578.6333333333332,1490
47360,1578.6666666666667,1490
47361,1578.7,1490
47362,1578.7333333333333,1490
