n,t,v,h
41801,1393.3666666666668,107,2
41802,1393.4,107,2
41803,1393.4333333333332,107,2
41804,1393.466666666667,108,2
41805,1393.5,108,2
41806,1393.533333333333,109,2
41807,1393.5666666666668,109,2
41808,1393.6,110,2
41809,1393.6333333333332,110,2
41810,1393.666666666667,110,2
41811,1393.7,111,2
41812,1393.7333333333331,111,2
41813,1393.7666666666669,112,2
41814,1393.8,112,2
41815,1393.833333333333,112,2
41816,1393.8666666666668,113,2
41817,1393.9,113,2
41818,1393.9333333333332,113,2
41819,1393.966666666667,114,2
41820,1394.0,114,2
41821,1394.033333333333,114,2
41822,1394.0666666666668,115,2
41823,1394.1,115,2
41824,1394.1333333333332,116,2
41825,1394.166666666667,116,2
41826,1394.2,116,2
41827,1394.2333333333331,117,2
41828,1394.2666666666669,117,2
41829,1394.3,118,2
41830,1394.333333333333,118,2
41831,1394.3666666666668,119,2
41832,1394.4,119,2
41833,1394.4333333333332,119,2
41834,1394.466666666667,120,2
41835,1394.5,120,2
41836,1394.533333333333,121,2
41837,1394.5666666666668,121,2
41838,1394.6,121,2
41839,1394.6333333333332,122,2
41840,1394.666666666667,122,2
41841,1394.7,123,2
41842,1394.7333333333331,123,2
41843,1394.7666666666669,124,2
41844,1394.8,124,2
41845,1394.833333333333,125,2
41846,1394.8666666666668,125,2
41847,1394.9,125,2
41848,1394.9333333333332,126,2
41849,1394.966666666667,126,2
41850,1395.0,127,2
41851,1395.033333333333,127,2
41852,1395.0666666666668,128,2
41853,1395.1,128,2
41854,1395.1333333333332,129,2
41855,1395.166666666667,129,2
41856,1395.2,129,2
41857,1395.2333333333331,130,2
41858,1395.2666666666669,130,2
41859,1395.3,131,2
41860,1395.333333333333,131,2
41861,1395.3666666666668,131,2
41862,1395.4,132,2
41863,1395.4333333333332,132,2
41864,1395.466666666667,132,2
41865,1395.5,133,2
41866,1395.533333333333,133,2
41867,1395.5666666666668,134,2
41868,1395.6,134,2
41869,1395.6333333333332,135,2
41870,1395.666666666667,135,2
41871,1395.7,135,2
41872,1395.7333333333331,136,2
41873,1395.7666666666669,136,3
41874,1395.8,136,3
41875,1395.833333333333,137,3
41876,1395.8666666666668,137,3
41877,1395.9,138,3
41878,1395.9333333333332,138,3
41879,1395.966666666667,139,3
41880,1396.0,139,3
41881,1396.033333333333,139,3
41882,1396.0666666666668,140,3
41883,1396.1,140,3
41884,1396.1333333333332,140,3
41885,1396.166666666667,141,3
41886,1396.2,141,3
41887,1396.2333333333331,142,3
41888,1396.2666666666669,142,3
41889,1396.3,142,3
41890,1396.333333333333,143,3
41891,1396.3666666666668,143,3
41892,1396.4,143,3
41893,1396.4333333333332,143,3
41894,1396.466666666667,144,3
41895,1396.5,145,3
41896,1396.533333333333,145,3
41897,1396.5666666666668,146,3
41898,1396.6,146,3
41899,1396.6333333333332,147,3
41900,1396.666666666667,147,3
41901,1396.7,148,3
41902,1396.7333333333331,148,3
41903,1396.7666666666669,149,3
41904,1396.8,149,3
41905,1396.833333333333,150,3
41906,1396.8666666666668,150,3
41907,1396.9,151,3
41908,1396.9333333333332,151,3
41909,1396.966666666667,152,3
41910,1397.0,152,3
41911,1397.033333333333,153,3
41912,1397.0666666666668,154,3
41913,1397.1,154,3
41914,1397.1333333333332,154,3
41915,1397.166666666667,155,3
41916,1397.2,155,3
41917,1397.2333333333331,156,3
41918,1397.2666666666669,156,3
41919,1397.3,156,3
41920,1397.333333333333,157,3
41921,1397.3666666666668,157,3
41922,1397.4,158,3
41923,1397.4333333333332,159,3
41924,1397.466666666667,159,3
41925,1397.5,159,3
41926,1397.533333333333,160,3
41927,1397.5666666666668,160,3
41928,1397.6,161,3
41929,1397.6333333333332,161,3
41930,1397.666666666667,162,3
41931,1397.7,162,3
41932,1397.7333333333331,163,3
41933,1397.7666666666669,163,3
41934,1397.8,163,3
41935,1397.833333333333,164,3
41936,1397.8666666666668,164,3
41937,1397.9,165,3
41938,1397.9333333333332,165,3
41939,1397.966666666667,166,3
41940,1398.0,166,3
41941,1398.033333333333,167,3
41942,1398.0666666666668,167,3
41943,1398.1,168,4
41944,1398.1333333333332,168,4
41945,1398.166666666667,168,4
41946,1398.2,169,4
41947,1398.2333333333331,169,4
41948,1398.2666666666669,170,4
41949,1398.3,170,4
41950,1398.333333333333,171,4
41951,1398.3666666666668,171,4
41952,1398.4,172,4
41953,1398.4333333333332,172,4
41954,1398.466666666667,172,4
41955,1398.5,173,4
41956,1398.533333333333,173,4
41957,1398.5666666666668,174,4
41958,1398.6,174,4
41959,1398.6333333333332,175,4
41960,1398.666666666667,175,4
41961,1398.7,176,4
41962,1398.7333333333331,176,4
41963,1398.7666666666669,176,4
41964,1398.8,177,4
41965,1398.833333333333,177,4
41966,1398.8666666666668,178,4
41967,1398.9,178,4
41968,1398.9333333333332,179,4
41969,1398.966666666667,179,4
41970,1399.0,180,4
41971,1399.033333333333,180,4
41972,1399.0666666666668,181,4
41973,1399.1,181,4
41974,1399.1333333333332,181,4
41975,1399.166666666667,182,4
41976,1399.2,183,4
41977,1399.2333333333331,183,4
41978,1399.2666666666669,184,4
41979,1399.3,184,4
41980,1399.333333333333,185,4
41981,1399.3666666666668,185,4
41982,1399.4,186,4
41983,1399.4333333333332,186,4
41984,1399.466666666667,187,4
41985,1399.5,187,4
41986,1399.533333333333,188,4
41987,1399.5666666666668,188,4
41988,1399.6,188,4
41989,1399.6333333333332,189,4
41990,1399.666666666667,189,4
41991,1399.7,189,4
41992,1399.7333333333331,190,4
41993,1399.7666666666669,190,4
41994,1399.8,191,4
41995,1399.833333333333,191,4
41996,1399.8666666666668,192,4
41997,1399.9,192,4
41998,1399.9333333333332,193,4
41999,1399.966666666667,193,4
42000,1400.0,193,5
42001,1400.033333333333,194,5
42002,1400.0666666666668,195,5
42003,1400.1,195,5
42004,1400.1333333333332,196,5
42005,1400.166666666667,196,5
42006,1400.2,197,5
42007,1400.2333333333331,197,5
42008,1400.2666666666669,198,5
42009,1400.3,198,5
42010,1400.333333333333,198,5
42011,1400.3666666666668,199,5
42012,1400.4,200,5
42013,1400.4333333333332,200,5
42014,1400.466666666667,200,5
42015,1400.5,201,5
42016,1400.533333333333,201,5
42017,1400.5666666666668,202,5
42018,1400.6,202,5
42019,1400.6333333333332,202,5
42020,1400.666666666667,203,5
42021,1400.7,203,5
42022,1400.7333333333331,204,5
42023,1400.7666666666669,204,5
42024,1400.8,205,5
42025,1400.833333333333,205,5
42026,1400.8666666666668,205,5
42027,1400.9,206,5
42028,1400.9333333333332,206,5
42029,1400.966666666667,207,5
42030,1401.0,207,5
42031,1401.033333333333,208,5
42032,1401.0666666666668,208,5
42033,1401.1,208,5
42034,1401.1333333333332,209,5
42035,1401.166666666667,209,5
42036,1401.2,209,5
42037,1401.2333333333331,210,5
42038,1401.2666666666669,210,5
42039,1401.3,211,5
42040,1401.333333333333,211,5
42041,1401.3666666666668,212,5
42042,1401.4,212,5
42043,1401.4333333333332,213,5
42044,1401.466666666667,213,5
42045,1401.5,214,5
42046,1401.533333333333,214,5
42047,1401.5666666666668,215,5
42048,1401.6,215,5
42049,1401.6333333333332,216,5
42050,1401.666666666667,216,5
42051,1401.7,217,5
42052,1401.7333333333331,217,5
42053,1401.7666666666669,218,5
42054,1401.8,218,6
42055,1401.833333333333,219,6
42056,1401.8666666666668,219,6
42057,1401.9,220,6
42058,1401.9333333333332,220,6
42059,1401.966666666667,221,6
42060,1402.0,221,6
42061,1402.033333333333,222,6
42062,1402.0666666666668,222,6
42063,1402.1,222,6
42064,1402.1333333333332,223,6
42065,1402.166666666667,224,6
42066,1402.2,224,6
42067,1402.2333333333331,225,6
42068,1402.2666666666669,225,6
42069,1402.3,226,6
42070,1402.333333333333,226,6
42071,1402.3666666666668,227,6
42072,1402.4,227,6
42073,1402.4333333333332,228,6
42074,1402.466666666667,228,6
42075,1402.5,229,6
42076,1402.533333333333,229,6
42077,1402.5666666666668,230,6
42078,1402.6,230,6
42079,1402.6333333333332,230,6
42080,1402.666666666667,231,6
42081,1402.7,231,6
42082,1402.7333333333331,232,6
42083,1402.7666666666669,232,6
42084,1402.8,233,6
42085,1402.833333333333,233,6
42086,1402.8666666666668,234,6
42087,1402.9,234,6
42088,1402.9333333333332,234,6
42089,1402.966666666667,235,6
42090,1403.0,235,6
42091,1403.033333333333,235,6
42092,1403.0666666666668,236,6
42093,1403.1,237,6
42094,1403.1333333333332,237,6
42095,1403.166666666667,237,6
42096,1403.2,238,6
42097,1403.2333333333331,238,6
42098,1403.2666666666669,239,6
42099,1403.3,239,6
42100,1403.333333333333,240,6
42101,1403.3666666666668,240,6
42102,1403.4,241,7
42103,1403.4333333333332,241,7
42104,1403.466666666667,242,7
42105,1403.5,242,7
42106,1403.533333333333,242,7
42107,1403.5666666666668,243,7
42108,1403.6,243,7
42109,1403.6333333333332,244,7
42110,1403.666666666667,244,7
42111,1403.7,245,7
42112,1403.7333333333331,246,7
42113,1403.7666666666669,246,7
42114,1403.8,247,7
42115,1403.833333333333,247,7
42116,1403.8666666666668,248,7
42117,1403.9,248,7
42118,1403.9333333333332,249,7
42119,1403.966666666667,250,7
42120,1404.0,250,7
42121,1404.033333333333,251,7
42122,1404.0666666666668,251,7
42123,1404.1,252,7
42124,1404.1333333333332,252,7
42125,1404.166666666667,252,7
42126,1404.2,253,7
42127,1404.2333333333331,253,7
42128,1404.2666666666669,254,7
42129,1404.3,254,7
42130,1404.333333333333,254,7
42131,1404.3666666666668,255,7
42132,1404.4,255,7
42133,1404.4333333333332,255,7
42134,1404.466666666667,256,7
42135,1404.5,256,7
42136,1404.533333333333,256,7
42137,1404.5666666666668,257,7
42138,1404.6,257,7
42139,1404.6333333333332,258,7
42140,1404.666666666667,258,7
42141,1404.7,259,7
42142,1404.7333333333331,259,7
42143,1404.7666666666669,260,7
42144,1404.8,260,7
42145,1404.833333333333,261,7
42146,1404.8666666666668,261,7
42147,1404.9,262,8
42148,1404.9333333333332,262,8
42149,1404.966666666667,263,8
42150,1405.0,264,8
42151,1405.033333333333,264,8
42152,1405.0666666666668,265,8
42153,1405.1,265,8
42154,1405.1333333333332,266,8
42155,1405.166666666667,266,8
42156,1405.2,267,8
42157,1405.2333333333331,267,8
42158,1405.2666666666669,268,8
42159,1405.3,269,8
42160,1405.333333333333,269,8
42161,1405.3666666666668,270,8
42162,1405.4,270,8
42163,1405.4333333333332,270,8
42164,1405.466666666667,271,8
42165,1405.5,272,8
42166,1405.533333333333,272,8
42167,1405.5666666666668,273,8
42168,1405.6,273,8
42169,1405.6333333333332,274,8
42170,1405.666666666667,274,8
42171,1405.7,275,8
42172,1405.7333333333331,275,8
42173,1405.7666666666669,276,8
42174,1405.8,277,8
42175,1405.833333333333,277,8
42176,1405.8666666666668,278,8
42177,1405.9,278,8
42178,1405.9333333333332,279,8
42179,1405.966666666667,279,8
42180,1406.0,280,8
42181,1406.033333333333,280,8
42182,1406.0666666666668,281,8
42183,1406.1,282,8
42184,1406.1333333333332,282,9
42185,1406.166666666667,283,9
42186,1406.2,283,9
42187,1406.2333333333331,284,9
42188,1406.2666666666669,284,9
42189,1406.3,285,9
42190,1406.333333333333,285,9
42191,1406.3666666666668,286,9
42192,1406.4,287,9
42193,1406.4333333333332,287,9
42194,1406.466666666667,287,9
42195,1406.5,288,9
42196,1406.533333333333,288,9
42197,1406.5666666666668,289,9
42198,1406.6,289,9
42199,1406.6333333333332,289,9
42200,1406.666666666667,290,9
42201,1406.7,291,9
42202,1406.7333333333331,291,9
42203,1406.7666666666669,292,9
42204,1406.8,292,9
42205,1406.833333333333,293,9
42206,1406.8666666666668,293,9
42207,1406.9,294,9
42208,1406.9333333333332,294,9
42209,1406.966666666667,295,9
42210,1407.0,295,9
42211,1407.033333333333,296,9
42212,1407.0666666666668,297,9
42213,1407.1,297,9
42214,1407.1333333333332,298,9
42215,1407.166666666667,298,9
42216,1407.2,299,9
42217,1407.2333333333331,299,9
42218,1407.2666666666669,300,9
42219,1407.3,300,9
42220,1407.333333333333,301,9
42221,1407.3666666666668,301,10
42222,1407.4,302,10
42223,1407.4333333333332,302,10
42224,1407.466666666667,302,10
42225,1407.5,303,10
42226,1407.533333333333,303,10
42227,1407.5666666666668,304,10
42228,1407.6,305,10
42229,1407.6333333333332,305,10
42230,1407.666666666667,306,10
42231,1407.7,306,10
42232,1407.7333333333331,307,10
42233,1407.7666666666669,308,10
42234,1407.8,308,10
42235,1407.833333333333,309,10
42236,1407.8666666666668,309,10
42237,1407.9,310,10
42238,1407.9333333333332,311,10
42239,1407.966666666667,311,10
42240,1408.0,312,10
42241,1408.033333333333,312,10
42242,1408.0666666666668,313,10
42243,1408.1,313,10
42244,1408.1333333333332,313,10
42245,1408.166666666667,314,10
42246,1408.2,315,10
42247,1408.2333333333331,316,10
42248,1408.2666666666669,316,10
42249,1408.3,317,10
42250,1408.333333333333,317,10
42251,1408.3666666666668,318,10
42252,1408.4,318,10
42253,1408.4333333333332,319,10
42254,1408.466666666667,320,11
42255,1408.5,320,11
42256,1408.533333333333,321,11
42257,1408.5666666666668,321,11
42258,1408.6,322,11
42259,1408.6333333333332,322,11
42260,1408.666666666667,322,11
42261,1408.7,323,11
42262,1408.7333333333331,323,11
42263,1408.7666666666669,324,11
42264,1408.8,325,11
42265,1408.833333333333,325,11
42266,1408.8666666666668,326,11
42267,1408.9,326,11
42268,1408.9333333333332,327,11
42269,1408.966666666667,327,11
42270,1409.0,328,11
42271,1409.033333333333,328,11
42272,1409.0666666666668,329,11
42273,1409.1,330,11
42274,1409.1333333333332,330,11
42275,1409.166666666667,331,11
42276,1409.2,331,11
42277,1409.2333333333331,332,11
42278,1409.2666666666669,332,11
42279,1409.3,333,11
42280,1409.333333333333,334,11
42281,1409.3666666666668,334,11
42282,1409.4,335,11
42283,1409.4333333333332,336,11
42284,1409.466666666667,336,11
42285,1409.5,337,11
42286,1409.533333333333,337,12
42287,1409.5666666666668,338,12
42288,1409.6,338,12
42289,1409.6333333333332,339,12
42290,1409.666666666667,339,12
42291,1409.7,340,12
42292,1409.7333333333331,340,12
42293,1409.7666666666669,341,12
42294,1409.8,341,12
42295,1409.833333333333,342,12
42296,1409.8666666666668,342,12
42297,1409.9,342,12
42298,1409.9333333333332,343,12
42299,1409.966666666667,344,12
42300,1410.0,344,12
42301,1410.033333333333,345,12
42302,1410.0666666666668,345,12
42303,1410.1,346,12
42304,1410.1333333333332,347,12
42305,1410.166666666667,347,12
42306,1410.2,348,12
42307,1410.2333333333331,348,12
42308,1410.2666666666669,349,12
42309,1410.3,350,12
42310,1410.333333333333,350,12
42311,1410.3666666666668,351,12
42312,1410.4,351,12
42313,1410.4333333333332,352,12
42314,1410.466666666667,352,12
42315,1410.5,353,12
42316,1410.533333333333,353,12
42317,1410.5666666666668,354,12
42318,1410.6,354,13
42319,1410.6333333333332,355,13
42320,1410.666666666667,355,13
42321,1410.7,356,13
42322,1410.7333333333331,356,13
42323,1410.7666666666669,357,13
42324,1410.8,357,13
42325,1410.833333333333,358,13
42326,1410.8666666666668,359,13
42327,1410.9,359,13
42328,1410.9333333333332,360,13
42329,1410.966666666667,360,13
42330,1411.0,361,13
42331,1411.033333333333,361,13
42332,1411.0666666666668,362,13
42333,1411.1,362,13
42334,1411.1333333333332,362,13
42335,1411.166666666667,363,13
42336,1411.2,364,13
42337,1411.2333333333331,364,13
42338,1411.2666666666669,365,13
42339,1411.3,365,13
42340,1411.333333333333,366,13
42341,1411.3666666666668,367,13
42342,1411.4,367,13
42343,1411.4333333333332,368,13
42344,1411.466666666667,368,13
42345,1411.5,369,13
42346,1411.533333333333,370,13
42347,1411.5666666666668,370,13
42348,1411.6,371,13
42349,1411.6333333333332,371,13
42350,1411.666666666667,372,14
42351,1411.7,372,14
42352,1411.7333333333331,373,14
42353,1411.7666666666669,374,14
42354,1411.8,374,14
42355,1411.833333333333,375,14
42356,1411.8666666666668,376,14
42357,1411.9,376,14
42358,1411.9333333333332,377,14
42359,1411.966666666667,377,14
42360,1412.0,378,14
42361,1412.033333333333,379,14
42362,1412.0666666666668,379,14
42363,1412.1,380,14
42364,1412.1333333333332,381,14
42365,1412.166666666667,381,14
42366,1412.2,382,14
42367,1412.2333333333331,383,14
42368,1412.2666666666669,383,14
42369,1412.3,384,14
42370,1412.333333333333,384,14
42371,1412.3666666666668,385,14
42372,1412.4,386,14
42373,1412.4333333333332,386,14
42374,1412.466666666667,386,14
42375,1412.5,387,14
42376,1412.533333333333,387,14
42377,1412.5666666666668,388,15
42378,1412.6,388,15
42379,1412.6333333333332,388,15
42380,1412.666666666667,389,15
42381,1412.7,390,15
42382,1412.7333333333331,390,15
42383,1412.7666666666669,391,15
42384,1412.8,391,15
42385,1412.833333333333,392,15
42386,1412.8666666666668,392,15
42387,1412.9,393,15
42388,1412.9333333333332,393,15
42389,1412.966666666667,394,15
42390,1413.0,395,15
42391,1413.033333333333,395,15
42392,1413.0666666666668,396,15
42393,1413.1,397,15
42394,1413.1333333333332,397,15
42395,1413.166666666667,398,15
42396,1413.2,399,15
42397,1413.2333333333331,399,15
42398,1413.2666666666669,400,15
42399,1413.3,401,15
42400,1413.333333333333,401,15
42401,1413.3666666666668,402,15
42402,1413.4,402,15
42403,1413.4333333333332,403,15
42404,1413.466666666667,403,15
42405,1413.5,404,16
42406,1413.533333333333,404,16
42407,1413.5666666666668,405,16
42408,1413.6,406,16
42409,1413.6333333333332,406,16
42410,1413.666666666667,407,16
42411,1413.7,408,16
42412,1413.7333333333331,408,16
42413,1413.7666666666669,409,16
42414,1413.8,409,16
42415,1413.833333333333,410,16
42416,1413.8666666666668,411,16
42417,1413.9,411,16
42418,1413.9333333333332,412,16
42419,1413.966666666667,413,16
42420,1414.0,413,16
42421,1414.033333333333,414,16
42422,1414.0666666666668,415,16
42423,1414.1,415,16
42424,1414.1333333333332,416,16
42425,1414.166666666667,417,16
42426,1414.2,417,16
42427,1414.2333333333331,418,16
42428,1414.2666666666669,419,16
42429,1414.3,419,17
42430,1414.333333333333,420,17
42431,1414.3666666666668,420,17
42432,1414.4,421,17
42433,1414.4333333333332,422,17
42434,1414.466666666667,422,17
42435,1414.5,423,17
42436,1414.533333333333,424,17
42437,1414.5666666666668,424,17
42438,1414.6,425,17
42439,1414.6333333333332,425,17
42440,1414.666666666667,426,17
